date,ETH/USDT
2025-01-09 00:00:00+00:00,3219.2
2025-01-10 00:00:00+00:00,3267.04
2025-01-11 00:00:00+00:00,3282.83
2025-01-12 00:00:00+00:00,3267.3
2025-01-13 00:00:00+00:00,3137.51
2025-01-14 00:00:00+00:00,3225.63
2025-01-15 00:00:00+00:00,3451.52
2025-01-16 00:00:00+00:00,3308.05
2025-01-17 00:00:00+00:00,3473.63
2025-01-18 00:00:00+00:00,3307.71
2025-01-19 00:00:00+00:00,3215.12
2025-01-20 00:00:00+00:00,3284.0
2025-01-21 00:00:00+00:00,3327.54
2025-01-22 00:00:00+00:00,3242.6
2025-01-23 00:00:00+00:00,3338.21
2025-01-24 00:00:00+00:00,3310.09
2025-01-25 00:00:00+00:00,3318.77
2025-01-26 00:00:00+00:00,3232.61
2025-01-27 00:00:00+00:00,3182.44
2025-01-28 00:00:00+00:00,3077.72
2025-01-29 00:00:00+00:00,3113.9
2025-01-30 00:00:00+00:00,3247.39
2025-01-31 00:00:00+00:00,3300.99
2025-02-01 00:00:00+00:00,3117.54
2025-02-02 00:00:00+00:00,2869.68
2025-02-03 00:00:00+00:00,2879.9
2025-02-04 00:00:00+00:00,2731.19
2025-02-05 00:00:00+00:00,2788.25
2025-02-06 00:00:00+00:00,2686.64
2025-02-07 00:00:00+00:00,2622.1
2025-02-08 00:00:00+00:00,2632.46
2025-02-09 00:00:00+00:00,2627.18
2025-02-10 00:00:00+00:00,2661.19
2025-02-11 00:00:00+00:00,2602.59
2025-02-12 00:00:00+00:00,2738.27
2025-02-13 00:00:00+00:00,2675.87
2025-02-14 00:00:00+00:00,2725.95
2025-02-15 00:00:00+00:00,2693.04
2025-02-16 00:00:00+00:00,2661.41
2025-02-17 00:00:00+00:00,2744.05
2025-02-18 00:00:00+00:00,2671.99
2025-02-19 00:00:00+00:00,2715.5
2025-02-20 00:00:00+00:00,2738.04
2025-02-21 00:00:00+00:00,2663.0
2025-02-22 00:00:00+00:00,2763.22
2025-02-23 00:00:00+00:00,2819.69
2025-02-24 00:00:00+00:00,2513.52
2025-02-25 00:00:00+00:00,2495.7
2025-02-26 00:00:00+00:00,2336.37
2025-02-27 00:00:00+00:00,2307.72
2025-02-28 00:00:00+00:00,2237.59
2025-03-01 00:00:00+00:00,2217.39
2025-03-02 00:00:00+00:00,2518.11
2025-03-03 00:00:00+00:00,2149.01
2025-03-04 00:00:00+00:00,2171.51
2025-03-05 00:00:00+00:00,2241.59
2025-03-06 00:00:00+00:00,2202.2
2025-03-07 00:00:00+00:00,2141.6
2025-03-08 00:00:00+00:00,2203.58
2025-03-09 00:00:00+00:00,2020.41
2025-03-10 00:00:00+00:00,1865.1
2025-03-11 00:00:00+00:00,1923.43
2025-03-12 00:00:00+00:00,1908.2
2025-03-13 00:00:00+00:00,1864.59
2025-03-14 00:00:00+00:00,1911.65
2025-03-15 00:00:00+00:00,1937.17
2025-03-16 00:00:00+00:00,1887.0
2025-03-17 00:00:00+00:00,1926.31
2025-03-18 00:00:00+00:00,1931.54
2025-03-19 00:00:00+00:00,2056.06
2025-03-20 00:00:00+00:00,1983.79
2025-03-21 00:00:00+00:00,1965.75
2025-03-22 00:00:00+00:00,1980.69
2025-03-23 00:00:00+00:00,2005.99
2025-03-24 00:00:00+00:00,2081.2
2025-03-25 00:00:00+00:00,2066.15
2025-03-26 00:00:00+00:00,2009.52
2025-03-27 00:00:00+00:00,2003.66
2025-03-28 00:00:00+00:00,1896.9
2025-03-29 00:00:00+00:00,1828.08
2025-03-30 00:00:00+00:00,1807.74
2025-03-31 00:00:00+00:00,1822.43
2025-04-01 00:00:00+00:00,1904.98
2025-04-02 00:00:00+00:00,1795.22
2025-04-03 00:00:00+00:00,1817.23
2025-04-04 00:00:00+00:00,1816.87
2025-04-05 00:00:00+00:00,1806.01
2025-04-06 00:00:00+00:00,1580.76
2025-04-07 00:00:00+00:00,1553.04
2025-04-08 00:00:00+00:00,1473.41
2025-04-09 00:00:00+00:00,1669.51
2025-04-10 00:00:00+00:00,1522.25
2025-04-11 00:00:00+00:00,1566.85
2025-04-12 00:00:00+00:00,1644.18
2025-04-13 00:00:00+00:00,1597.76
2025-04-14 00:00:00+00:00,1623.77
2025-04-15 00:00:00+00:00,1588.78
2025-04-16 00:00:00+00:00,1577.14
2025-04-17 00:00:00+00:00,1583.62
2025-04-18 00:00:00+00:00,1588.6
2025-04-19 00:00:00+00:00,1613.27
2025-04-20 00:00:00+00:00,1587.36
2025-04-21 00:00:00+00:00,1579.57
2025-04-22 00:00:00+00:00,1756.26
2025-04-23 00:00:00+00:00,1795.07
2025-04-24 00:00:00+00:00,1769.65
2025-04-25 00:00:00+00:00,1784.6
2025-04-26 00:00:00+00:00,1820.88
2025-04-27 00:00:00+00:00,1791.29
2025-04-28 00:00:00+00:00,1799.88
2025-04-29 00:00:00+00:00,1797.81
2025-04-30 00:00:00+00:00,1793.61
2025-05-01 00:00:00+00:00,1838.11
2025-05-02 00:00:00+00:00,1842.2
2025-05-03 00:00:00+00:00,1833.52
2025-05-04 00:00:00+00:00,1808.86
2025-05-05 00:00:00+00:00,1820.19
2025-05-06 00:00:00+00:00,1817.0
2025-05-07 00:00:00+00:00,1811.11
2025-05-08 00:00:00+00:00,2207.39
2025-05-09 00:00:00+00:00,2345.04
2025-05-10 00:00:00+00:00,2583.23
2025-05-11 00:00:00+00:00,2514.57
2025-05-12 00:00:00+00:00,2495.47
2025-05-13 00:00:00+00:00,2679.71
2025-05-14 00:00:00+00:00,2609.74
2025-05-15 00:00:00+00:00,2548.69
2025-05-16 00:00:00+00:00,2537.12
2025-05-17 00:00:00+00:00,2475.08
2025-05-18 00:00:00+00:00,2497.78
2025-05-19 00:00:00+00:00,2528.14
2025-05-20 00:00:00+00:00,2524.19
2025-05-21 00:00:00+00:00,2550.99
2025-05-22 00:00:00+00:00,2664.82
2025-05-23 00:00:00+00:00,2526.5
2025-05-24 00:00:00+00:00,2530.4
2025-05-25 00:00:00+00:00,2551.22
2025-05-26 00:00:00+00:00,2563.7
2025-05-27 00:00:00+00:00,2660.81
2025-05-28 00:00:00+00:00,2681.6
2025-05-29 00:00:00+00:00,2631.39
2025-05-30 00:00:00+00:00,2531.34
2025-05-31 00:00:00+00:00,2528.06
2025-06-01 00:00:00+00:00,2539.21
2025-06-02 00:00:00+00:00,2607.41
2025-06-03 00:00:00+00:00,2593.36
2025-06-04 00:00:00+00:00,2607.68
2025-06-05 00:00:00+00:00,2414.01
2025-06-06 00:00:00+00:00,2476.1
2025-06-07 00:00:00+00:00,2524.63
2025-06-08 00:00:00+00:00,2509.83
2025-06-09 00:00:00+00:00,2680.13
2025-06-10 00:00:00+00:00,2816.4
2025-06-11 00:00:00+00:00,2771.61
2025-06-12 00:00:00+00:00,2642.65
2025-06-13 00:00:00+00:00,2579.19
2025-06-14 00:00:00+00:00,2530.76
2025-06-15 00:00:00+00:00,2547.61
2025-06-16 00:00:00+00:00,2544.17
2025-06-17 00:00:00+00:00,2509.95
2025-06-18 00:00:00+00:00,2525.0
2025-06-19 00:00:00+00:00,2521.12
2025-06-20 00:00:00+00:00,2406.49
2025-06-21 00:00:00+00:00,2295.73
2025-06-22 00:00:00+00:00,2227.7
2025-06-23 00:00:00+00:00,2411.66
2025-06-24 00:00:00+00:00,2448.45
2025-06-25 00:00:00+00:00,2418.49
2025-06-26 00:00:00+00:00,2415.96
2025-06-27 00:00:00+00:00,2423.17
2025-06-28 00:00:00+00:00,2435.62
2025-06-29 00:00:00+00:00,2500.09
2025-06-30 00:00:00+00:00,2485.47
2025-07-01 00:00:00+00:00,2405.01
2025-07-02 00:00:00+00:00,2570.41
2025-07-03 00:00:00+00:00,2591.25
2025-07-04 00:00:00+00:00,2508.04
2025-07-05 00:00:00+00:00,2516.41
2025-07-06 00:00:00+00:00,2570.35
2025-07-07 00:00:00+00:00,2542.29
2025-07-08 00:00:00+00:00,2615.25
2025-07-09 00:00:00+00:00,2768.74
2025-07-10 00:00:00+00:00,2951.29
2025-07-11 00:00:00+00:00,2958.22
2025-07-12 00:00:00+00:00,2943.28
2025-07-13 00:00:00+00:00,2972.03
2025-07-14 00:00:00+00:00,3013.62
2025-07-15 00:00:00+00:00,3137.89
2025-07-16 00:00:00+00:00,3371.35
2025-07-17 00:00:00+00:00,3476.87
2025-07-18 00:00:00+00:00,3546.92
2025-07-19 00:00:00+00:00,3592.01
2025-07-20 00:00:00+00:00,3756.69
2025-07-21 00:00:00+00:00,3762.33
2025-07-22 00:00:00+00:00,3746.21
2025-07-23 00:00:00+00:00,3628.29
2025-07-24 00:00:00+00:00,3706.94
2025-07-25 00:00:00+00:00,3724.96
2025-07-26 00:00:00+00:00,3741.1
2025-07-27 00:00:00+00:00,3872.1
2025-07-28 00:00:00+00:00,3799.0
2025-07-29 00:00:00+00:00,3793.79
2025-07-30 00:00:00+00:00,3810.0
2025-07-31 00:00:00+00:00,3698.39
2025-08-01 00:00:00+00:00,3488.2
2025-08-02 00:00:00+00:00,3393.94
2025-08-03 00:00:00+00:00,3496.74
2025-08-04 00:00:00+00:00,3720.99
2025-08-05 00:00:00+00:00,3612.0
2025-08-06 00:00:00+00:00,3683.31
2025-08-07 00:00:00+00:00,3910.31
2025-08-08 00:00:00+00:00,4009.5
2025-08-09 00:00:00+00:00,4260.62
2025-08-10 00:00:00+00:00,4250.57
2025-08-11 00:00:00+00:00,4223.22
2025-08-12 00:00:00+00:00,4590.52
2025-08-13 00:00:00+00:00,4749.3
2025-08-14 00:00:00+00:00,4546.84
2025-08-15 00:00:00+00:00,4439.47
2025-08-16 00:00:00+00:00,4421.99
2025-08-17 00:00:00+00:00,4472.33
2025-08-18 00:00:00+00:00,4312.99
2025-08-19 00:00:00+00:00,4075.59
2025-08-20 00:00:00+00:00,4336.16
2025-08-21 00:00:00+00:00,4225.3
2025-08-22 00:00:00+00:00,4832.07
2025-08-23 00:00:00+00:00,4778.4
2025-08-24 00:00:00+00:00,4780.15
2025-08-25 00:00:00+00:00,4376.18
2025-08-26 00:00:00+00:00,4600.63
2025-08-27 00:00:00+00:00,4506.71
2025-08-28 00:00:00+00:00,4511.21
2025-08-29 00:00:00+00:00,4360.18
2025-08-30 00:00:00+00:00,4373.7
2025-08-31 00:00:00+00:00,4391.83
2025-09-01 00:00:00+00:00,4314.5
2025-09-02 00:00:00+00:00,4326.5
2025-09-03 00:00:00+00:00,4450.46
2025-09-04 00:00:00+00:00,4297.55
2025-09-05 00:00:00+00:00,4307.45
2025-09-06 00:00:00+00:00,4273.14
2025-09-07 00:00:00+00:00,4306.19
2025-09-08 00:00:00+00:00,4306.37
2025-09-09 00:00:00+00:00,4310.09
2025-09-10 00:00:00+00:00,4349.32
2025-09-11 00:00:00+00:00,4458.82
2025-09-12 00:00:00+00:00,4712.16
